#standard_name	order (g=galliformes, a=anseriformes, o=other)
poultry	o
domestic_bird	o
chicken	g
rooster	g
silkie_chicken	g
Common_moorhen	o
American_black_duck	a
American_widgeon	a
Northern_pintail	a
mallard	a
baikal_teal	a
black-necked_grebe	n
cascade_duck	a
common_goldeneye	a
common_pochard	a
Eurasian_teal	a
duck	a
green-winged_teal	a
Gadwall	a
Goldeneye	a
goosander	a
greater_scaup	a
Mandarin_duck	a
smew	a
Muscovy_duck	a
Peking_duck	a
American_Pekin_duck	a
red-chested_pochard	a
Ruddy_shelduck	a
teal	a
Tufted_duck	a
Wood_duck	a
yellow-billed_duck	a
american_buff_goose	a
swan_goose	a
greater_white-fronted_goose	a
greylag_goose	a
domestic_goose	a
goose	a
bar-headed_goose	a
barnacle_goose	a
bean_goose	a
black-headed_goose	a
brent_goose	a
broilerduck	a
canada_goose	a
whooper_swan	a
mute_swan	a
embden_goose	a
grey_goose	a
sebastopol_goose	a
snow_goose	a
tundra_swan	a
swan	a
common_pheasant	g
fowl	o
golden_pheasant	g
green_peafowl	g
guinea_fowl	g
kalij_pheasant	g
peafowl	g
pheasant	g
quail	g
silver_pheasant	g
turkey	g
waterfowl	a
white_peafowl	g
bird	o
egg	o
environment	o
american_blue-winged_teal	a
American_green_winged_teal	a
American_wigeon	a
arctic_tern	n
Grey_heron	n
Old_World_babbler	n
bald_eagle	n
barn_swallow	n
Black-crowned_night_heron	n
black-headed_gull	n
black_swan	a
common_blackbird	n
black_bulbul	n
black_vulture	n
blue_magpie	n
blue-winged_teal	a
brown-headed_gull	n
common_buzzard	n
buzzard	n
cattle_egret	n
caspian_gull	n
crow	n
chestnut_munia	n
Chinese_pond_heron	n
chukar	g
white_stork	n
common_coot	n
common_crane	n
common_gull	n
common_kestrel	n
common_green_magpie	n
common_myna	n
common_tern	n
condor	n
Coopers_hawk	n
coot	n
cormorant	n
crested_eagle	n
crested_goshawk	n
crested_myna	n
curlew	n
dalmatian_pelican	n
daurian_starling	n
dove	n
eagle	n
Eurasian_eagle-owl	n
egret	n
emu	o
Eurasian_coot	n
Eurasian_curlew	n
Eurasian_sparrowhawk	n
Eurasian_spoonbill	n
European_herring_gull	n
Eurasian_wigeon	a
falcon	n
peregrine_falcon	n
pigeon	n
golden_mountain_thrush	n
golden_eagle	n
common_raven	n
gadwall	a
Northern_goshawk	n
grey_crowned_crane	n
grey_heron	n
great_black-backed_gull	n
great_cormorant	n
great_crested_grebe	n
great_egret	n
great_barbet	n
great_horned_owl	n
great_tit	n
great_white_pelican	n
grebe	n
green_heron	n
gull	n
hawk	n
heron	n
herring_gull	n
common_hill_myna	n
houbara_bustard	n
hooded_crane	n
hooded_vulture	n
house_crow	n
house_sparrow	n
Japanese_white-eye	n
kestrel	n
large-billed_crow	n
lesser_black-backed_gull	n
lesser_kestrel	n
little_cuckoo-dove	n
little_egret	n
little_grebe	n
little_owl	n
long-tailed_shrike	n
magpie	n
Oriental_magpie-robin	n
magpie-robin	n
marabou_stork	n
migratory_bird	n
moorhen	n
mountain_hawk-eagle	n
munia	n
myna	n
ngan	n
northern_goshawk	n
northern_gannet	n
northern_shoveler	a
open-billed_stork	n
open-billed_ibis	n
ostrich	n
oystercatcher	n
owl	n
parrot	n
partridge	g
peaceful_dove	n
peacock	g
pelican	n
Dalmatian_pelican	n
Australian_pelican	n
Peruvian_pelican	n
phalacrocorax	n
Australian_magpie	n
read-breasted_starling	n
red-tailed_hawk	n
rhea	n
robin	n
roller	n
rook	n
ruddy_turnstone	n
saker_falcon	n
sandpiper	n
sanderling	n
sandwich_tern	n
scaly-breasted_munia	n
shorebird	n
shrike	n
silver-eared_mesia	n
slaty-backed_gull	n
snowy_owl	n
song_thrush	n
sparrow	n
spur-winged_lapwing	n
starling	n
stone_curlew	n
stork	n
swallow	n
swiftlet	n
tree_sparrow	n
turtle_dove	n
vulture	n
watercock	n
white-backed_munia	n
white-tailed_eagle	n
