strain	clade
a/chicken/hongkong/258/97	0
a/chicken/hongkong/220/97	0
a/goose/hongkong/1032.6/2000	0
a/chicken/hongkong/728/97	0
a/hongkong/481/97	0
a/goose/china/f3/2004	0
a/plateaupika/qinghai/04/2007	0
a/swine/shandong/2/03	0
a/goose/hongkong/w355/97	0
a/duck/fujian/01/2002	0
a/chicken/hongkong/915/1997	0
a/duck/vietnam/8/05	0
a/duck/shanghai/38/2001	0
a/duck/hongkong/p46/97	0
a/duck/guangxi/27/2003	0
a/goose/hongkong/437_6/1999	0
a/goose/huadong/1/2000	0
a/mallard/xuyi/10/2005	0
a/goose/guangdong/xb/2001	0
a/silkychicken/hongkong/p17/97	0
a/chicken/hongkong/y388/97	0
a/environment/hongkong/486/1997	0
a/environment/qinghai/1/2008	0
a/chicken/hubei/wj/1997	0
a/chicken/jilin/hk/2004	0
a/chicken/china/1/02	0
a/duck/shanghai/1/2000	0
a/chicken/jilin/ha/2003	0
a/chicken/hubei/wl/1997	0
a/chicken/zhoukou/2/02/	0
a/duck/guangdong/07/2000	0
a/goose/hongkong/485.3/2000	0
a/environment/hongkong/674.15/2002	0
a/chicken/hongkong/786/97	0
a/duck/guangdong/40/2000	0
a/duck/guangxi/53/2002	0
a/hongkong/483/1997	0
a/goose/hongkong/437_8/1999	0
a/hongkong/156/97	0
a/spotbillduck/xuyi/18/2005	0
a/hongkong/485/1997	0
a/chicken/hubei/wh/1997	0
a/ostrich/suzhou/097/2003	0
a/environment/hongkong/437_10/99	0
a/duck/fujian/13/2002	0
a/hongkong/482/97	0
a/chicken/hongkong/915/97	0
a/duck/shanghai/08/2001	0
a/goose/vietnam/3/05	0
a/environment/hongkong/156/1997	0
a/chicken/hongkong/y385/97	0
a/duck/anyang/avl_1/2001	0
a/goose/guangdong/3/1997	0
a/environment/hongkong/437_8/99	0
a/chicken/hebei/108/02	0
a/duck/shanghai/35/2002	0
a/duck/guangdong/12/2000	0
a/environment/hongkong/437_6/99	0
a/duck/zhejiang/11/2000	0
a/environment/hongkong/437_4/99	0
a/chicken/jilin/xv/2002	0
a/duck/guangxi/12/2003	0
a/duck/shanghai/37/2002	0
