strain	clade
a/chicken/hongkong/258/97|h5n1|AF057291|northern_hemisphere|china|hong_kong|chicken|chicken|galliforme|avian|1997-XX-XX|1997	0
a/chicken/hongkong/220/97|h5n1|AF046080|northern_hemisphere|china|hong_kong|chicken|chicken|galliforme|avian|1997-XX-XX|1997	0
a/goose/hongkong/1032.6/2000|h5n1|GU052050|northern_hemisphere|china|hong_kong|goose|goose|anseriforme|avian|2000-XX-XX|2000	0
a/chicken/hongkong/728/97|h5n1|AF046099|northern_hemisphere|china|hong_kong|chicken|chicken|galliforme|avian|1997-XX-XX|1997	0
a/hongkong/481/97|h5n1|AF046096|northern_hemisphere|china|hong_kong|human|human|human|human|1997-XX-XX|1997	0
a/goose/china/f3/2004|h5n1|AY639405|northern_hemisphere|china|china|goose|goose|anseriforme|avian|2004-XX-XX|2004	0
a/plateaupika/qinghai/04/2007|h5n1|FJ390061|northern_hemisphere|china|china|plateaupika|nonhuman_mammal|nonhuman_mammal|nonhuman_mammal|2007-04-19|2007-04-19	0
a/swine/shandong/2/03|h5n1|AY646424|northern_hemisphere|china|china|swine|nonhuman_mammal|nonhuman_mammal|nonhuman_mammal|2003-XX-XX|2003	0
a/goose/hongkong/w355/97|h5n1|AF098545|northern_hemisphere|china|hong_kong|goose|goose|anseriforme|avian|1997-XX-XX|1997	0
a/duck/fujian/01/2002|h5n1|AY585357|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2002-XX-XX|2002	0
a/chicken/hongkong/915/1997|h5|AF046100|northern_hemisphere|china|hong_kong|chicken|chicken|galliforme|avian|1997-XX-XX|1997	0
a/duck/vietnam/8/05|h5n1|DQ366322|tropical|southeast_asia|vietnam|duck|duck|anseriforme|avian|2005-XX-XX|2005	0
a/duck/shanghai/38/2001|h5n1|AY585376|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2001-XX-XX|2001	0
a/duck/hongkong/p46/97|h5n1|AF098543|northern_hemisphere|china|hong_kong|duck|duck|anseriforme|avian|1997-XX-XX|1997	0
a/duck/guangxi/27/2003|h5n1|EU263353|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2003-XX-XX|2003	0
a/goose/hongkong/437_6/1999|h5n1|GU052019|northern_hemisphere|china|hong_kong|goose|goose|anseriforme|avian|1999-XX-XX|1999	0
a/goose/huadong/1/2000|h5n1|DQ201829|northern_hemisphere|china|china|goose|goose|anseriforme|avian|2000-XX-XX|2000	0
a/mallard/xuyi/10/2005|h5n2|GQ184330|northern_hemisphere|china|china|mallard|mallard|anseriforme|avian|2005-01-XX|2005-01	0
a/goose/guangdong/xb/2001|h5n1|DQ997522|northern_hemisphere|china|china|goose|goose|anseriforme|avian|2001-XX-XX|2001	0
a/silkychicken/hongkong/p17/97|h5n1|AF098546|northern_hemisphere|china|hong_kong|silkychicken|silkie_chicken|galliforme|avian|1997-XX-XX|1997	0
a/chicken/hongkong/y388/97|h5n1|AF098542|northern_hemisphere|china|hong_kong|chicken|chicken|galliforme|avian|1997-XX-XX|1997	0
a/environment/hongkong/486/1997|h5n1|GU052035|northern_hemisphere|china|hong_kong|environment|environment|environment|environment|1997-XX-XX|1997	0
a/environment/qinghai/1/2008|h5n1|FJ455820|northern_hemisphere|china|china|environment|environment|environment|environment|2008-06-12|2008-06-12	0
a/chicken/hubei/wj/1997|h5n1|DQ997122|northern_hemisphere|china|china|chicken|chicken|galliforme|avian|1997-XX-XX|1997	0
a/chicken/jilin/hk/2004|h5n1|DQ997325|northern_hemisphere|china|china|chicken|chicken|galliforme|avian|2004-XX-XX|2004	0
a/chicken/china/1/02|h5n1|DQ023145|northern_hemisphere|china|china|chicken|chicken|galliforme|avian|2002-XX-XX|2002	0
a/duck/shanghai/1/2000|h5|AF501234|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2000-XX-XX|2000	0
a/chicken/jilin/ha/2003|h5n1|DQ997268|northern_hemisphere|china|china|chicken|chicken|galliforme|avian|2003-XX-XX|2003	0
a/chicken/hubei/wl/1997|h5n1|DQ997133|northern_hemisphere|china|china|chicken|chicken|galliforme|avian|1997-XX-XX|1997	0
a/chicken/zhoukou/2/02/|h5n1|DQ211924|northern_hemisphere|china|china|chicken|chicken|galliforme|avian|2002-XX-XX|2002	0
a/duck/guangdong/07/2000|h5n1|AY585373|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2000-XX-XX|2000	0
a/goose/hongkong/485.3/2000|h5n1|GU052042|northern_hemisphere|china|hong_kong|goose|goose|anseriforme|avian|2000-XX-XX|2000	0
a/environment/hongkong/674.15/2002|h5n1|GU186680|northern_hemisphere|china|hong_kong|environment|environment|environment|environment|2002-XX-XX|2002	0
a/chicken/hongkong/786/97|h5n1|AF082035|northern_hemisphere|china|hong_kong|chicken|chicken|galliforme|avian|1997-XX-XX|1997	0
a/duck/guangdong/40/2000|h5n1|AY585374|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2000-XX-XX|2000	0
a/duck/guangxi/53/2002|h5n1|AY585366|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2002-XX-XX|2002	0
a/hongkong/483/1997|h5n1|AF046097|northern_hemisphere|china|hong_kong|human|human|human|human|1997-XX-XX|1997	0
a/goose/hongkong/437_8/1999|h5n1|GU052027|northern_hemisphere|china|hong_kong|goose|goose|anseriforme|avian|1999-XX-XX|1999	0
a/hongkong/156/97|h5n1|AF028709|northern_hemisphere|china|hong_kong|human|human|human|human|1997-XX-XX|1997	0
a/spotbillduck/xuyi/18/2005|h5n2|GQ184328|northern_hemisphere|china|china|spotbillduck|spotbillduck|other|avian|2005-02-XX|2005-02	0
a/hongkong/485/1997|h5n1|GU052142|northern_hemisphere|china|hong_kong|human|human|human|human|1997-XX-XX|1997	0
a/chicken/hubei/wh/1997|h5n1|DQ997102|northern_hemisphere|china|china|chicken|chicken|galliforme|avian|1997-XX-XX|1997	0
a/ostrich/suzhou/097/2003|h5n1|JF732739|northern_hemisphere|china|china|ostrich|ostrich|neoave|avian|2003-04-16|2003-04-16	0
a/environment/hongkong/437_10/99|h5n1|AF216737|northern_hemisphere|china|hong_kong|environment|environment|environment|environment|1999-XX-XX|1999	0
a/duck/fujian/13/2002|h5n1|AY585358|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2002-XX-XX|2002	0
a/hongkong/482/97|h5n1|AF046098|northern_hemisphere|china|hong_kong|human|human|human|human|1997-XX-XX|1997	0
a/chicken/hongkong/915/97|h5n1|AF082036|northern_hemisphere|china|hong_kong|chicken|chicken|galliforme|avian|1997-XX-XX|1997	0
a/duck/shanghai/08/2001|h5n1|AY585370|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2001-XX-XX|2001	0
a/goose/vietnam/3/05|h5n1|DQ366314|tropical|southeast_asia|vietnam|goose|goose|anseriforme|avian|2005-XX-XX|2005	0
a/environment/hongkong/156/1997|h5n1|GU052127|northern_hemisphere|china|hong_kong|environment|environment|environment|environment|1997-XX-XX|1997	0
a/chicken/hongkong/y385/97|h5n1|AF098541|northern_hemisphere|china|hong_kong|chicken|chicken|galliforme|avian|1997-XX-XX|1997	0
a/duck/anyang/avl_1/2001|h5n1|AF468837|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2001-XX-XX|2001	0
a/goose/guangdong/3/1997|h5n1|AF364334|northern_hemisphere|china|china|goose|goose|anseriforme|avian|1997-XX-XX|1997	0
a/environment/hongkong/437_8/99|h5n1|AF216729|northern_hemisphere|china|hong_kong|environment|environment|environment|environment|1999-XX-XX|1999	0
a/chicken/hebei/108/02|h5n1|DQ343152|northern_hemisphere|china|china|chicken|chicken|galliforme|avian|2002-XX-XX|2002	0
a/duck/shanghai/35/2002|h5n1|AY585368|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2002-XX-XX|2002	0
a/duck/guangdong/12/2000|h5n1|AY585361|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2000-XX-XX|2000	0
a/environment/hongkong/437_6/99|h5n1|AF216721|northern_hemisphere|china|hong_kong|environment|environment|environment|environment|1999-XX-XX|1999	0
a/duck/zhejiang/11/2000|h5n1|AY585371|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2000-XX-XX|2000	0
a/environment/hongkong/437_4/99|h5n1|AF216713|northern_hemisphere|china|hong_kong|environment|environment|environment|environment|1999-XX-XX|1999	0
a/chicken/jilin/xv/2002|h5n1|DQ997538|northern_hemisphere|china|china|chicken|chicken|galliforme|avian|2002-XX-XX|2002	0
a/duck/guangxi/12/2003|h5n1|EU263345|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2003-XX-XX|2003	0
a/duck/shanghai/37/2002|h5n1|AY585369|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2002-XX-XX|2002	0
a/duck/shandong/093/2004|h5n1|AY854190|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2004-XX-XX|2004	0
a/chicken/hongkong/317.5/2001|h5n1|AY075027|northern_hemisphere|china|hong_kong|chicken|chicken|galliforme|avian|2001-XX-XX|2001	0
a/duck/fujian/19/2000|h5n1|AY585359|northern_hemisphere|china|china|duck|duck|anseriforme|avian|2000-XX-XX|2000	0
a/chicken/luohuo/3/03/|h5n1|DQ211925|northern_hemisphere|china|china|chicken|chicken|galliforme|avian|2003-XX-XX|2003	0
a/duck/guangxi/07/1999|h5n1|AY585363|northern_hemisphere|china|china|duck|duck|anseriforme|avian|1999-XX-XX|1999	0
a/chicken/jilin/xw/2003|h5n1|DQ997547|northern_hemisphere|china|china|chicken|chicken|galliforme|avian|2003-XX-XX|2003	0
a/chicken/hongkong/786_2/1997|h5n1|GU052135|northern_hemisphere|china|hong_kong|chicken|chicken|galliforme|avian|1997-XX-XX|1997	0
a/chicken/shandong/k01/2004|h5n1|DQ767725|northern_hemisphere|china|china|chicken|chicken|galliforme|avian|2004-XX-XX|2004	0
a/goose/guangdong/1/1996|h5n1|AF148678|northern_hemisphere|china|china|goose|goose|anseriforme|avian|1996-XX-XX|1996	0
a/goose/hongkong/1032.9/2000|h5n1|GU052057|northern_hemisphere|china|hong_kong|goose|goose|anseriforme|avian|2000-XX-XX|2000	0
a/chicken/thailand/pc_168/2006|h5n1|DQ999880|tropical|southeast_asia|thailand|chicken|chicken|galliforme|avian|2006-XX-XX|2006	1
a/open_billedstork/nakhonsawan/bbd3509m/05|h5n1|EF112283|tropical|southeast_asia|thailand|open_billedstork|open-billed_stork|neoave|avian|2005-XX-XX|2005	1
a/greatbarbet/thailand/vsmu_2_cbi/2005|h5n1|EF206697|tropical|southeast_asia|thailand|greatbarbet|great_barbet|neoave|avian|2005-XX-XX|2005	1
a/chicken/vietnam/c58/04|h5n1|AY818136|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2004-XX-XX|2004	1
a/thailand/5(kk_494)/2004|h5n1|AY627885|tropical|southeast_asia|thailand|human|human|human|human|2004-XX-XX|2004	1
a/open_billedstork/nakhonsawan/bbd1421j/05|h5n1|EF112274|tropical|southeast_asia|thailand|open_billedstork|open-billed_stork|neoave|avian|2005-XX-XX|2005	1
a/open_billstork/thailand/vsmu_2_nsn/2004|h5n1|AB450569|tropical|southeast_asia|thailand|open_billstork|open-billed_stork|neoave|avian|2004-XX-XX|2004	1
a/kalijpheasant/thailand/vsmu_1/2008|h5n1|EU676317|tropical|southeast_asia|thailand|kalijpheasant|kalij_pheasant|galliforme|avian|2008-XX-XX|2008	1
a/chicken/vietnam/binhduong477/2005|h5n1|EU124169|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2005-08-10|2005-08-10	1
a/chicken/vietnam/ncvd09/2005|h5n1|CY034214|tropical|southeast_asia|vietnam|chicken|chicken|galliforme|avian|2005-XX-XX|2005	1
